OTUID	TrophicMode
OTU1628	Symbiotroph
OTU16316	Symbiotroph
OTU16329	Symbiotroph
OTU16363	Symbiotroph
OTU16393	Symbiotroph
OTU16431	Symbiotroph
OTU16432	Symbiotroph
OTU16458	Saprotroph
OTU16594	Symbiotroph
OTU16612	Symbiotroph
OTU1663	Symbiotroph
OTU1665	Symbiotroph
OTU16668	Symbiotroph
OTU1668	Symbiotroph
OTU16686	Symbiotroph
OTU16688	Symbiotroph
OTU16707	Symbiotroph
OTU16708	Symbiotroph
OTU16720	Symbiotroph
OTU16732	Symbiotroph
OTU16782	Pathotroph
OTU16783	Symbiotroph
OTU16792	Pathotroph
OTU168	Symbiotroph
OTU169	Symbiotroph
OTU16980	Symbiotroph
OTU1699	Symbiotroph
OTU16990	Saprotroph
OTU1700	Pathotroph
OTU17008	Symbiotroph
OTU17022	Symbiotroph
OTU17023	Symbiotroph
OTU17024	Symbiotroph
OTU1704	Symbiotroph
OTU1706	Saprotroph
OTU17096	Pathotroph
OTU17145	Symbiotroph
OTU17173	Symbiotroph
OTU17184	Symbiotroph
OTU17190	Symbiotroph
OTU172	Symbiotroph
OTU17208	Symbiotroph
OTU17210	Symbiotroph
OTU17231	Symbiotroph
OTU17283	Symbiotroph
OTU173	Symbiotroph
OTU17359	Symbiotroph
OTU17361	Symbiotroph
OTU17384	Symbiotroph
OTU17414	Symbiotroph
OTU1742	Symbiotroph
OTU17510	Pathotroph
OTU17514	Symbiotroph
OTU17559	Symbiotroph
OTU17615	Symbiotroph
OTU1762	Saprotroph
OTU17664	Symbiotroph
OTU17720	Symbiotroph
OTU17724	Symbiotroph
OTU17756	Saprotroph
OTU17779	Symbiotroph
OTU1778	Symbiotroph
OTU17787	Symbiotroph
OTU1781	Symbiotroph
OTU17819	Symbiotroph
OTU17822	Symbiotroph
OTU17867	Pathotroph
OTU17890	Symbiotroph
OTU17908	Symbiotroph
OTU17927	Symbiotroph
OTU17933	Symbiotroph
OTU1796	Symbiotroph
OTU1800	Saprotroph
OTU18040	Saprotroph
OTU1806	Symbiotroph
OTU18071	Symbiotroph
OTU18097	Symbiotroph
OTU1816	Symbiotroph
OTU1819	Symbiotroph
OTU18236	Symbiotroph
OTU1826	Symbiotroph
OTU18387	Symbiotroph
OTU18398	Symbiotroph
OTU18408	Symbiotroph
OTU18414	Symbiotroph
OTU18451	Symbiotroph
OTU18479	Symbiotroph
OTU1849	Symbiotroph
OTU185	Symbiotroph
OTU18502	Symbiotroph
OTU18535	Symbiotroph
OTU18536	Saprotroph
OTU18591	Symbiotroph
OTU18648	Symbiotroph
OTU18662	Symbiotroph
OTU18663	Symbiotroph
OTU18695	Saprotroph
OTU187	Symbiotroph
OTU18743	Symbiotroph
OTU18752	Symbiotroph
OTU18770	Symbiotroph
OTU1878	Saprotroph
OTU18822	Symbiotroph
OTU1884	Symbiotroph
OTU18863	Symbiotroph
OTU1887	Symbiotroph
OTU18982	Symbiotroph
OTU19047	Pathotroph
OTU19091	Symbiotroph
OTU1910	Symbiotroph
OTU19174	Symbiotroph
OTU19272	Symbiotroph
OTU19293	Symbiotroph
OTU19324	Pathotroph
OTU19365	Symbiotroph
OTU19378	Symbiotroph
OTU19446	Symbiotroph
OTU19507	Pathotroph
OTU19516	Symbiotroph
OTU1952	Symbiotroph
OTU19520	Saprotroph
OTU1953	Symbiotroph
OTU19542	Symbiotroph
OTU1960	Saprotroph
OTU19657	Symbiotroph
OTU19699	Symbiotroph
OTU19723	Symbiotroph
OTU1977	Symbiotroph
OTU19770	Symbiotroph
OTU1980	Symbiotroph
OTU19812	Symbiotroph
OTU19992	Symbiotroph
OTU19997	Symbiotroph
OTU20000	Symbiotroph
OTU2001	Symbiotroph
OTU20082	Symbiotroph
OTU20098	Symbiotroph
OTU201	Symbiotroph
OTU20110	Symbiotroph
OTU202	Pathotroph-Symbiotroph
OTU2024	Symbiotroph
OTU20274	Symbiotroph
OTU20308	Symbiotroph
OTU20365	Symbiotroph
OTU204	Symbiotroph
OTU20417	Pathotroph
OTU20490	Pathotroph
OTU20498	Symbiotroph
OTU2054	Symbiotroph
OTU2056	Symbiotroph
OTU20567	Symbiotroph
OTU20588	Symbiotroph
OTU20673	Symbiotroph
OTU20736	Symbiotroph
OTU20743	Symbiotroph
OTU20748	Symbiotroph
OTU20767	Symbiotroph
OTU20781	Symbiotroph
OTU2080	Pathotroph
OTU20841	Saprotroph
OTU20858	Saprotroph
OTU20884	Saprotroph
OTU20896	Symbiotroph
OTU210	Symbiotroph
OTU21011	Symbiotroph
OTU21039	Symbiotroph
OTU21055	Symbiotroph
OTU21062	Symbiotroph
OTU21080	Symbiotroph
OTU21082	Symbiotroph
OTU211	Symbiotroph
OTU2126	Symbiotroph
OTU2128	Symbiotroph
